question_id,source_exam,source_file,source_category,source_question_number,category,question_type,prompt,stimulus,stimulus_type,image_filename,choice_a,choice_b,choice_c,choice_d,choice_e,correct_choice_label,correct_choice_text,explanation
E01_V_Q14,1,Course Statistics - BoostPrep.html,CCAT Verbal,14,Verbal,Sentence Completion,"Choose the word or words that, when inserted in the sentence to replace the blank or blanks, best fits the meaning of the sentence.","The city's _________ efforts to revitalize its downtown area initially attracted new businesses, but an unexpected _________ in infrastructure investment caused setbacks and public dissatisfaction.",text,,vigorous ... boost,halfhearted ... decline,persistent ... withdrawal,temporary ... expansion,sporadic ... cutback,C,persistent ... withdrawal,"C: The sentence describes a city's ongoing efforts to improve its downtown, leading to initial success, followed by a negative outcome due to reduced infrastructure investment, causing setbacks and dissatisfaction. The first blank needs an adjective suggesting sustained effort, and ""persistent"" (meaning continuous and determined) fits well. The second blank requires a noun indicating a reduction in resources, and ""withdrawal"" (implying a pulling back of investment) matches the context of setbacks."
E01_V_Q15,1,Course Statistics - BoostPrep.html,CCAT Verbal,15,Verbal,Attention to Detail,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,Apex Consulting LLC | Apex Consulting LCC; Banner Technologies | Banner Technologies; Crown Jewelers | Crown Jewellers; Delta Force Security | Delta Force Security; Eagle Eye Investigations | Eagle Eye Investigations,text_table,,1,2,3,4,5,C,3,"C: ""Apex Consulting LLC"" and ""Apex Consulting LCC"" are different. ""Crown Jewelers"" and ""Crown Jewellers"" are also different. Therefore, 3 items are exactly the same."
E01_V_Q16,1,Course Statistics - BoostPrep.html,CCAT Verbal,16,Verbal,Attention to Detail,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,"Franklin, Robert D. | Franklin, Robert B.; Goodman, Alice M. | Goodman, Alice M.; Harris, Samuel T. | Harris, Samuel T.; Irvine, Laura P. | Irvine, Laura R.; Jackson, Kyle B. | Jackson, Kyle B.",text_table,,1,2,3,4,5,C,3,"C: ""Franklin, Robert D."" and ""Franklin, Robert B."" are different. ""Irvine, Laura P."" and ""Irvine, Laura R."" are also different. Therefore, 3 items are exactly the same."
E01_V_Q17,1,Course Statistics - BoostPrep.html,CCAT Verbal,17,Verbal,Attention to Detail,How many of the five items in the left-hand column are exactly the same as the corresponding entry in the right-hand column?,"Phoenix, AZ | Phoenix, AZ; Atlanta, GA | Atlanta, G.A.; Denver, CO | Denver, CO; Boston, MA | Boston, MA; Chicago, IL | Chicago, IL",text_table,,1,2,3,4,5,D,4,"D: ""Atlanta, GA"" and ""Atlanta, G.A."" are different (due to the period after the second initial). Therefore, 4 items are exactly the same."
E01_ML_Q01,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,1,Math & Logic,Applied Quantitative Word Problems,,A sandwich costs $4.50. How much will it cost to buy four sandwiches?,text,,$16.00,$17.50,$18.00,$18.50,$19.00,C,$18.00,"C: To find the total cost of four sandwiches we can use some quick mental math: $4 × 4 sandwiches = $16.00 $0.50 × 4 = $2.00 $16.00 + $2.00 = $18.00 Therefore, the correct answer is option C."
E01_ML_Q02,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,2,Math & Logic,Basic Numeric Calculation & Comparison,,Which of the following is the smallest value?,text,,0.62,0.407,0.093,0.155,0.28,C,0.093,"C: To determine the smallest value, compare the digits starting from the tenths place: 0. 6 2 0. 4 07 0. 0 93 0. 1 55 0. 2 8 Since all other numbers are larger than one-tenth, 0.093 is the smallest. The correct answer is option C."
E01_ML_Q03,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,3,Math & Logic,Applied Quantitative Word Problems,,"A bookstore sells 528 novels in January. In February, it sells 187 more novels than in January. How many novels are sold in February?",text,,695,705,715,725,735,C,715,"C: The store sells 528 novels in January, and February's sales are 187 more than this. We can add 528 and 187 to find the number of novels sold in February. We can use rounded numbers to easily solve without a calculator. Instead of adding 187, let's add 200 and then subtract 13: 528 + 200 = 728 728 - 13 = 715 Therefore, the store sold 715 novels in February, and the correct answer is option C."
E01_ML_Q04,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,4,Math & Logic,"Percent, Ratio & Proportion",,"In a class of thirty students, one third of the students also play on the school's basketball team. If five more students from the class join the basketball team, what percentage of students in the class will be on the basketball team?",text,,33%,40%,43%,45%,50%,E,50%,"E: \frac{1}{3} of 30 students is 10, so initially 10 students play basketball. When 5 more join the basketball team, the total number of players becomes 15. To find the percentage, divide 15 by 30 and then multiply by one hundred: 15 ÷ 30 = 0.5 0.5 × 100 = 50% Therefore, the correct answer is option E."
E01_ML_Q05,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,5,Math & Logic,"Percent, Ratio & Proportion",,12 is 20% of what number?,text,,40,50,55,60,65,D,60,"D: If 12 is 20% of a number, we can set up an equation and solve: 0.20x = 12 x = 60 Therefore, the number is 60, and the correct answer is option D."
E01_ML_Q06,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,6,Math & Logic,Number Series,,What would be the next number in the following series? 4 ... 8 ... 16 ... 32 ... 64 ...,text,,96,112,120,128,144,D,128,"D: Each number in the series is obtained by multiplying the previous number by 2: 4 × 2 = 8 8 × 2 = 16 16 × 2 = 32 32 × 2 = 64 64 × 2 = 128 Therefore, the correct answer is option D."
E01_ML_Q07,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,7,Math & Logic,Syllogisms / Formal Logic,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided?",Sarah is taller than Michael. Emma is shorter than Michael. Sarah is shorter than Emma.,text,,True,False,Uncertain,,,B,False,"B: The first statement establishes that Sarah is taller than Michael (S > M). The second statement indicates that Emma is shorter than Michael (E < M). Combining these, we know Sarah is taller than Michael, who is taller than Emma (S > M > E). The final statement claims Sarah is shorter than Emma (S < E), which contradicts the derived order (S > E). Therefore, the final statement is False."
E01_ML_Q08,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,8,Math & Logic,Syllogisms / Formal Logic,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided?",All of Lisa's teammates are also teammates of James. James is a teammate of Olivia. Olivia has exactly two teammates.,text,,True,False,Uncertain,,,C,Uncertain,"C: The first statement means that all of Lisa's teammates are also teammates of James. The second statement confirms that Olivia is a teammate of James. The final statement claims that Olivia has exactly two teammates. Since the first two statements do not provide specific information about the number of Olivia's teammates (only that she is a teammate of James and that Lisa's teammates are a subset of James's), we cannot determine whether Olivia has exactly two teammates. It's possible, but not guaranteed, so the answer is uncertain."
E01_ML_Q09,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,9,Math & Logic,Syllogisms / Formal Logic,"Assume the first two statements are true. Is the final statement: 1) True, 2) False, or 3) Uncertain based on the information provided?",All projects assigned last month were exempt from the final review process. Tara was required to complete the final review process for her project. Tara's project was assigned last month.,text,,True,False,Uncertain,,,B,False,"B: The first statement indicates that all projects assigned last month were exempt from the final review process. The second statement states that Tara was required to complete the final review process for her project. The final statement claims that Tara's project was assigned last month. The second statement confirms that Tara's project required a review, which contradicts the exemption for last month's projects. Therefore, Tara's project could not have been assigned last month, making the final statement false."
E01_ML_Q10,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,10,Math & Logic,Basic Numeric Calculation & Comparison,,"A factory machine produces an average of 27.5 items every hour. If the machine only runs while the factory is open, and the factory is open for 40 hours each week, how many items will the machine produce over the course of 10 weeks?",text,,"10,800","11,000","11,200","11,400","11,600",B,"11,000","B: The machine produces 27.5 items every hour. In one week, it runs for 40 hours, so multiplying 27.5 by 40 gives 1,100 items per week. Over 10 weeks, multiplying 1,100 by 10 gives a total of 11,000 items. Therefore, the correct answer is option B."
E01_ML_Q11,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,11,Math & Logic,Applied Quantitative Word Problems,,"A carpenter can complete a project in 2.5 hours. His apprentice takes 5 hours to complete the same project. If both individuals start working at the same time, and each work 50 hours for one week, how many total projects will they have finished?",text,,28,29,30,31,32,C,30,"C: We can find how many projects the carpenter and apprentice both complete and add them together. Carpenter: 50 hours ÷ 2.5 projects per hour = 20 Apprentice: 50 hours ÷ 5 projects per hour = 10 20 + 10 = 30 total projects Together they finish 30 projects, making option C correct."
E01_ML_Q12,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,12,Math & Logic,Basic Numeric Calculation & Comparison,,"A group of four numbers has an average (arithmetic mean) of 18. The first three numbers are 12, 27, and 9. What is the fourth number?",text,,22,23,24,25,26,C,24,"C: To find the fourth number, begin by multiplying the average by the number of values. Since the average is 18 and there are four numbers, the total sum must be: 18 × 4 = 72 Next, add the first three numbers: 12 + 27 + 9 = 48 Subtract this sum from the required total: 72 - 48 = 24 The fourth number must be 24, which is option C."
E01_ML_Q13,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,13,Math & Logic,Tables & Graphs,By what percentage did the price increase between 2005 and 2025?,ccat_mathlogic1a_13.png,image,ccat_mathlogic1a_13.png,65%,75%,85%,95%,105%,B,75%,"B: Identify the starting and ending values from the graph. Price in 2005: $180,000 Price in 2025: $315,000 We can then use the percent change formula: ((New - Old) ÷ Old) × 100 (($315,000 - $180,000) ÷ $180,000) × 100 0.75 × 100 75% Therefore, the price increased by 75% between 2005 and 2025."
E01_ML_Q14,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,14,Math & Logic,"Percent, Ratio & Proportion",,An investor buys shares in a company for $8 per share. The shares increase by 20% in the first year and then by 25% in the second year. What will the price of the stock be after two years?,text,,$11.80/share,$12.00/share,$12.40/share,$12.60/share,$12.80/share,B,$12.00/share,"B: Start with $8 (year 1). After the first year, the stock increases by 20%: $8 × .20 = $1.60 $8 + $1.60 = $9.60 Continue with $9.60 (year 2). After the second year, the stock increased by 25%: $9.60 × .25 = $2.40 $9.60 + $2.40 = $12.00 Therefore, the correct answer is option B."
E01_ML_Q15,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,15,Math & Logic,Applied Quantitative Word Problems,,"A weather service estimates there is a 30% chance of rain on any given day. If this is correct and someone is planning a two-day outdoor event, what is the probability that it will not rain on either day?",text,,42%,45%,49%,51%,70%,C,49%,"C: The probability of no rain on a single day is the complement of 30%, which is 70%. For two independent days, multiply 70% by 70%: 0.7 × 0.7 = 0.49 0.49 × 100 = 49% Therefore, the correct answer is option C."
E01_ML_Q16,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,16,Math & Logic,"Percent, Ratio & Proportion",,"A concert hall knows it can sell all 800 seats at a price of $25 each. However, if the price is raised to $30, the hall expects to fill only 85% of the seats. By what percentage would revenue increase if the hall charges the higher price?",text,,0%,2%,4%,6%,8%,B,2%,"B: At $25 per ticket, the hall sells 800 seats for a revenue of: 800 × $25 = $20,000 At $30 per ticket, the hall sells 85% of 800: 800 × .85 = 680 680 × $30 = $20,400 We can use the percent change formula to solve: ((New - Old) ÷ Old) × 100 (($20,400 - $20,000) ÷ $20,000) × 100 0.02 × 100 2% The percentage increase is 2%."
E01_ML_Q17,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,17,Math & Logic,"Percent, Ratio & Proportion",,A cycling race begins with 15 cyclists from Team A and 12 cyclists from Team B. Three cyclists from Team A and four cyclists from Team B do not finish the race. What percentage of the cyclists who finish the race are from Team A?,text,,50%,60%,63%,66%,75%,B,60%,"B: Team A starts with 15 cyclists and loses 3, so 12 cyclists from Team A finish. Team B starts with 12 and loses 4, so 8 cyclists from Team B finish. The total number of finishers is 12 + 8 = 20. The fraction of finishers from Team A is 12 out of 20, which is 12/20 = 0.60, and converting to a percentage gives 60%. Therefore option B is correct."
E01_ML_Q18,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,18,Math & Logic,Basic Numeric Calculation & Comparison,,"What is the average (arithmetic mean) of the following numbers: 2, 5, 9, 15, and 29?",text,,10.0,11.5,12.0,12.4,13.0,C,12.0,"C: To find the arithmetic mean, first add the five numbers and then divide by the number of values (5): 2 + 5 + 9 + 15 + 29 = 60 60 ÷ 5 = 12 Therefore, option C is correct."
E01_ML_Q19,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,19,Math & Logic,Applied Quantitative Word Problems,,"A souvenir shop sells postcards in four different sizes, offers ten different designs, and has each postcard available in three types of frames. How many different combinations of size, design, and frame are possible?",text,,100,110,120,130,140,C,120,"C: Each complete postcard choice consists of one size, one design, and one frame. The total number of unique combinations is the product of the number of options in each category: 4 sizes × 10 designs × 3 frames = 120 Therefore, option C is correct."
E01_ML_Q20,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,20,Math & Logic,Applied Quantitative Word Problems,,"If a bag contains 50 marbles and you have a 1 5 \frac{1}{5} 5 1 ​ chance of drawing a blue marble, how many blue marbles are in the bag?",text,,5,8,10,12,15,C,10,"C: A probability of 1/5 means one out of every five marbles is blue. To find how many marbles correspond to this fraction, multiply the total number of marbles by 1/5: 50 × \frac{1}{5} = 10 Therefore, there are 10 blue marbles in the bag and option C is correct."
E01_ML_Q21,1,Course Statistics - BoostPrep.html,CCAT Math & Logic,21,Math & Logic,Arrangement Logic,,"Emma, Tom, and Sophia each have a pet: one a bird, one a rabbit, one a turtle, acquired in 2015, 2017, or 2019. Emma has a turtle. Tom acquired his pet in 2017. The rabbit's owner acquired their pet first. Which is true?",text,,Tom acquired a rabbit in 2017.,Emma acquired a turtle in 2015.,Sophia acquired a rabbit in 2015.,Tom acquired a turtle in 2017.,Sophia acquired a bird in 2019.,C,Sophia acquired a rabbit in 2015.,"C: Emma has the turtle (Clue 1), and Tom acquired his pet (bird or rabbit) in 2017 (Clue 2). The rabbit was acquired in 2015, the earliest year (Clue 3). Since Tom's pet was in 2017, Sophia must have the rabbit in 2015. This leaves Tom with the bird in 2017 and Emma with the turtle in 2019. Option C (Sophia acquired a rabbit in 2015) is true based on these assignments. Other options contradict the clues."
E01_S_Q01,1,Course Statistics - BoostPrep.html,CCAT Spatial Reasoning,1,Spatial Reasoning,Visual Next-in-Series,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial1a_1.png,image,ccat_spatial1a_1.png,A,B,C,D,E,C,C,C: C is the correct answer. The sequence is rotating a shaded box 45 degrees each time. Option C completes the sequence.
E01_S_Q02,1,Course Statistics - BoostPrep.html,CCAT Spatial Reasoning,2,Spatial Reasoning,Visual Next-in-Series,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial1a_2.png,image,ccat_spatial1a_2.png,A,B,C,D,E,A,A,"A: A is the correct answer. The shape is rotated counterclockwise 180 degrees each sequence. Option A completes the pattern. Option E is close, but is missing a shaded box."
E01_S_Q03,1,Course Statistics - BoostPrep.html,CCAT Spatial Reasoning,3,Spatial Reasoning,Visual Next-in-Series,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial1a_3.png,image,ccat_spatial1a_3.png,A,B,C,D,E,B,B,"B: B is the correct answer. Each shape is decreasing in the number of sides. We have an octagon (8), heptagon (7), hexagon (6), and a pentagon (5). Option B completes the pattern."
E01_S_Q04,1,Course Statistics - BoostPrep.html,CCAT Spatial Reasoning,4,Spatial Reasoning,Visual Next-in-Series,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial1a_4.png,image,ccat_spatial1a_4.png,A,B,C,D,E,D,D,"D: D is the correct answer. The combined shapes are all rotating 90 degrees clockwise each time. Option D completes the pattern. Option B is close, but the square should be filled in."
E01_S_Q05,1,Course Statistics - BoostPrep.html,CCAT Spatial Reasoning,5,Math & Logic,Letter-Group Series,What would be the next group of letters in the following series?,pyeu ... oyft ... nygs ... myhr ...,text,,lyiq,lyjr,kxip,lxiq,myiq,A,lyiq,"A: A is the correct answer. Look at each position in the 4-letter groups separately. 1st letters: p - o - n - m: (letters decrease by 1) = l 2nd letters: y - y - y - y: (letters remain constant) = y 3rd letters: e - f - g - h: (letters increase by 1) = i 4th letters: u - t - s - r: (letters decrease by 1) = q That gives us lyiq, or option A."
E01_S_Q06,1,Course Statistics - BoostPrep.html,CCAT Spatial Reasoning,6,Spatial Reasoning,Odd One Out,Which of the following does not belong?,ccat_spatial1a_6.png,image,ccat_spatial1a_6.png,A,B,C,D,E,D,D,"D: The odd one out in this question is option D. Option D is the only option that includes a triangle. In addition, option D also includes 4 shapes while the other options only have 3 shapes."
E01_S_Q07,1,Course Statistics - BoostPrep.html,CCAT Spatial Reasoning,7,Spatial Reasoning,Odd One Out,Which of the following does not belong?,ccat_spatial1a_7.png,image,ccat_spatial1a_7.png,A,B,C,D,E,E,E,E: The odd one out in this question is option E. Option E is the only option that includes a shape with rounded corners. All of the other options have sharp corners.
E01_S_Q08,1,Course Statistics - BoostPrep.html,CCAT Spatial Reasoning,8,Spatial Reasoning,Odd One Out,Which of the following does not belong?,ccat_spatial1a_8.png,image,ccat_spatial1a_8.png,A,B,C,D,E,E,E,"E: The odd one out in this question is option E. Option E is the only option that does not have a rectangle. All the other options include a circle, square, and a rectangle. Option E includes a square, another square, and a circle."
E01_S_Q09,1,Course Statistics - BoostPrep.html,CCAT Spatial Reasoning,9,Spatial Reasoning,Odd One Out,Which of the following does not belong?,ccat_spatial_1a_9.png,image,ccat_spatial_1a_9.png,A,B,C,D,E,E,E,E: The odd one out in this question is option E. All of the options have one version of the shape shaded and the corresponding shape unshaded. Option E has 2 shaded squares and 2 unshaded hexagons.
E01_S_Q10,1,Course Statistics - BoostPrep.html,CCAT Spatial Reasoning,10,Spatial Reasoning,Matrix Completion,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial1a_10.png,image,ccat_spatial1a_10.png,A,B,C,D,E,C,C,C: C is the correct answer. We can see that there is a pattern within each column and row. Column 1 uses triangles. Column 2 uses hexagons. Column 3 uses circles. We can also see that each row follows a pattern. Row 1 has all of the shapes filled. Row 2 has the top and bottom shape filled. Row 3 also has the top and bottom shape filled. Option C fits the matrix as it uses hexagons and has the top and bottom shape filled.
E01_S_Q11,1,Course Statistics - BoostPrep.html,CCAT Spatial Reasoning,11,Spatial Reasoning,Matrix Completion,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial_1a_11-1.png,image,ccat_spatial_1a_11-1.png,A,B,C,D,E,E,E,E: E is the correct answer. We can see that there is a pattern within each column and row. Column 1 uses triangles. Column 2 uses circles. Column 3 uses squares. We can also see that each row follows a pattern. Row 1 has the top left shape filled and bottom right shape unfilled. Row 2 has the bottom left shape filled and the top middle shape filled. Row 3 has all the shapes filled except the top right. Option E fits the matrix as it uses squares and has the bottom left and top middle shape filled.
E01_S_Q12,1,Course Statistics - BoostPrep.html,CCAT Spatial Reasoning,12,Spatial Reasoning,Matrix Completion,Which of the following boxes should replace the question mark (?) to complete the pattern?,ccat_spatial_1a_12.png,image,ccat_spatial_1a_12.png,A,B,C,D,E,A,A,"A: A is the correct answer. We can see that there is a pattern within each column and row. Column 1 rotates 90 degrees clockwise each time. Columns 2 and 3 also rotate 90 degrees clockwise each time. We can also see that each row follows a pattern. Each row has the shapes in the same position. Using the information for the columns and the rows, we can see that option A fits the matrix."
E02_V_Q01,2,Course Statistics - BoostPrep - 2.html,CCAT Verbal,1,Verbal,Analogies,,HAMMER is to BUILD as ...,text,,PENCIL is to PAPER,RECIPE is to COOK,ENGINE is to PISTON,SHOVEL is to DIG,TARGET is to AIM,D,SHOVEL is to DIG,"D: This tests the relationship of ""tool to primary function."" A HAMMER's primary function is to BUILD, just as a SHOVEL's primary function is to DIG. The other options don't show this tool-to-function relationship: A shows a tool to material, B shows instructions to action, C shows part-to-whole, E shows objective to action."
E02_V_Q02,2,Course Statistics - BoostPrep - 2.html,CCAT Verbal,2,Verbal,Analogies,,MONDAY is to WEEKDAY as ...,text,,MORNING is to EVENING,ROSE is to FLOWER,RIVER is to STREAM,STUDENT is to TEACHER,DOG is to WOLF,B,ROSE is to FLOWER,"B: This tests ""specific example to category."" MONDAY is a specific type of WEEKDAY, just as a ROSE is a specific type of FLOWER. The other options show different relationships: A shows opposites, C shows size comparison, D shows different roles, E shows species relationships."
